x,subjID,X
1,212,120
4,212,45
3,212,-10
1,212,-140
1,212,-260
4,212,55
4,212,65
4,212,70
4,212,50
3,212,55
2,212,-1630
2,212,110
2,212,140
2,212,130
4,212,-205
1,212,110
2,212,100
1,212,-220
3,212,30
3,212,-10
4,212,60
4,212,55
4,212,65
4,212,80
4,212,40
4,212,80
3,212,45
4,212,40
4,212,65
4,212,-245
2,212,110
1,212,90
3,212,45
3,212,40
3,212,25
3,212,-15
4,212,60
4,212,65
2,212,120
3,212,70
4,212,75
3,212,-10
1,212,-150
4,212,60
4,212,65
4,212,-250
3,212,60
4,212,85
3,212,40
4,212,45
2,222,100
3,222,50
4,222,50
1,222,100
2,222,80
1,222,120
3,222,60
4,222,40
2,222,110
1,222,-70
3,222,-10
4,222,45
2,222,120
4,222,45
2,222,90
4,222,55
2,222,100
4,222,60
2,222,90
4,222,40
2,222,120
4,222,55
2,222,-1140
4,222,50
2,222,80
4,222,-190
2,222,110
2,222,100
2,222,90
2,222,-1370
4,222,55
4,222,40
4,222,60
3,222,55
1,222,90
2,222,120
2,222,130
2,222,110
4,222,40
4,222,45
2,222,90
4,222,55
1,222,-190
2,222,100
4,222,65
2,222,120
1,222,100
3,222,5
4,222,70
2,222,-1630
1,222,-120
3,222,45
2,222,110
2,222,140
4,222,50
4,222,-205
1,222,120
3,222,0
1,222,-140
2,222,130
2,222,100
4,222,60
4,222,55
2,222,110
4,222,65
3,222,45
1,222,-260
2,222,120
4,222,80
3,222,10
3,222,-10
3,222,55
3,222,30
3,222,-10
2,222,120
3,222,45
3,222,45
3,222,40
3,222,25
2,222,140
3,222,-15
3,222,70
3,222,-10
3,222,60
3,222,40
3,222,55
3,222,30
3,222,15
3,222,10
3,222,55
3,222,40
3,222,-35
3,222,30
3,222,40
3,222,75
3,222,30
3,222,35
3,222,45
3,222,65
3,222,-20
2,226,100
4,226,50
2,226,80
1,226,100
3,226,50
4,226,40
1,226,120
2,226,110
2,226,120
1,226,-70
3,226,60
1,226,90
3,226,-10
4,226,45
1,226,-190
2,226,90
3,226,55
1,226,100
1,226,-120
4,226,45
1,226,120
3,226,5
4,226,55
3,226,45
4,226,60
2,226,100
4,226,40
2,226,90
4,226,55
1,226,-140
2,226,120
4,226,50
2,226,-1140
4,226,-190
3,226,0
2,226,80
1,226,-260
4,226,55
3,226,45
2,226,110
2,226,100
2,226,90
2,226,-1370
4,226,40
1,226,110
3,226,10
4,226,60
2,226,120
2,226,130
2,226,110
2,226,90
2,226,100
2,226,120
2,226,-1630
4,226,40
2,226,110
3,226,-10
1,226,-220
2,226,140
2,226,130
2,226,100
2,226,110
2,226,120
2,226,120
4,226,45
1,226,90
3,226,55
3,226,30
2,226,140
2,226,110
2,226,130
2,226,-1860
2,226,120
2,226,110
4,226,55
1,226,-150
2,226,130
2,226,150
3,226,-10
4,226,65
3,226,45
2,226,110
2,226,150
1,226,-80
4,226,70
2,226,120
3,226,45
1,226,110
1,226,-210
4,226,50
2,226,140
2,226,140
2,226,150
2,226,130
2,226,120
2,226,140
2,226,-2090
4,226,-205
2,226,120
2,226,160
1,229,100
1,229,120
2,229,100
2,229,80
3,229,50
3,229,60
4,229,50
4,229,40
1,229,-70
3,229,-10
1,229,90
4,229,45
3,229,55
2,229,110
2,229,120
1,229,-190
1,229,100
2,229,90
2,229,100
3,229,5
3,229,45
4,229,45
4,229,55
1,229,-120
1,229,120
4,229,60
4,229,40
2,229,90
2,229,120
3,229,0
3,229,45
1,229,-140
1,229,-260
1,229,110
1,229,-220
4,229,55
1,229,90
4,229,50
2,229,-1140
2,229,80
3,229,10
3,229,-10
1,229,-150
1,229,-80
2,229,110
1,229,110
4,229,-190
4,229,55
3,229,55
4,229,40
3,229,30
2,229,100
1,229,-210
1,229,-20
2,229,90
1,229,-130
4,229,60
2,229,-1370
2,229,120
1,229,100
3,229,-10
1,229,-130
1,229,-160
1,229,110
2,229,130
3,229,45
4,229,40
4,229,45
3,229,45
2,229,110
1,229,-240
1,229,100
2,229,90
3,229,40
4,229,55
4,229,65
3,229,25
2,229,100
1,229,-80
1,229,-120
1,229,-40
4,229,70
3,229,-15
1,229,-110
2,229,120
4,229,50
1,229,120
3,229,70
4,229,-205
2,229,-1630
1,229,-220
4,229,60
3,229,-10
3,229,60
2,229,110
1,229,-80
2,229,140
1,229,-110
3,229,40
4,229,55
2,242,100
3,242,50
3,242,60
2,242,80
2,242,110
2,242,120
2,242,90
3,242,-10
3,242,55
3,242,5
1,242,100
1,242,120
2,242,100
3,242,45
2,242,90
2,242,120
2,242,-1140
3,242,0
1,242,-70
1,242,90
1,242,-190
1,242,100
1,242,-120
3,242,45
4,242,50
4,242,40
4,242,45
4,242,45
4,242,55
4,242,60
4,242,40
4,242,55
4,242,50
4,242,-190
4,242,55
4,242,40
3,242,10
2,242,80
2,242,110
1,242,120
2,242,100
1,242,-140
2,242,90
2,242,-1370
2,242,120
1,242,-260
4,242,60
4,242,40
4,242,45
4,242,55
4,242,65
4,242,70
4,242,50
4,242,-205
4,242,60
3,242,-10
2,242,130
1,242,110
1,242,-220
2,242,110
2,242,90
2,242,100
2,242,120
4,242,55
2,242,-1630
4,242,65
4,242,80
2,242,110
1,242,90
2,242,140
1,242,-150
1,242,-80
2,242,130
2,242,100
3,242,55
3,242,30
4,242,40
3,242,-10
4,242,80
4,242,40
4,242,65
4,242,-245
4,242,60
4,242,65
4,242,75
4,242,60
4,242,65
4,242,-250
4,242,85
4,242,45
4,242,55
4,242,70
4,242,55
4,242,70
3,242,45
4,242,80
4,242,65
3,242,45
4,242,70
4,242,-270
2,243,100
2,243,80
3,243,50
1,243,100
1,243,120
1,243,-70
4,243,50
4,243,40
3,243,60
3,243,-10
2,243,110
2,243,120
2,243,90
2,243,100
2,243,90
1,243,90
1,243,-190
2,243,120
2,243,-1140
3,243,55
4,243,45
3,243,5
4,243,45
4,243,55
4,243,60
2,243,80
1,243,100
4,243,40
2,243,110
1,243,-120
2,243,100
4,243,55
4,243,50
4,243,-190
3,243,45
